PlasmoDB_GeneID	PfBloodR1	PfBloodR2	PfOocystR1	PfOocystR2	PfSporozoiteR1	PfSporozoiteR2
PF3D7_0103800	0	1.93931291	0	0.420645563	2.450487523	2.040656503
PF3D7_0103900	2.845651833	6.787595185	11.4779419	9.254202376	22.0543877	28.56919105
PF3D7_0104000	11.38260733	22.30209846	1.14779419	0	29.40585027	32.65050405
PF3D7_0104100	0	1.93931291	1.14779419	0	56.36121302	37.75214531
PF3D7_0104200	0	0	1.14779419	1.261936688	12.25243761	9.182954265
PF3D7_0104300	14.22825917	5.81793873	11.4779419	13.460658	9.801950091	16.32525203
PF3D7_0104400	0	1.93931291	1.14779419	1.261936688	1.225243761	2.040656503
PF3D7_0104500	0	0	1.14779419	1.68258225	0	0
PF3D7_0104600	2.845651833	3.87862582	0	1.68258225	0	1.020328252
PF3D7_0104700	1.422825917	0.969656455	0	0.841291125	3.675731284	0
PF3D7_0104800	12.80543325	17.45381619	4.591176758	3.785810063	2.450487523	9.182954265
PF3D7_0104900	2.845651833	3.87862582	22.95588379	26.08002488	11.02719385	14.28459552
PF3D7_0105000	1.422825917	1.93931291	5.738970948	13.04001244	0	1.020328252
PF3D7_0105100	0	0	1.14779419	1.261936688	0	0
PF3D7_0105200	1.422825917	1.93931291	10.33014771	7.571620126	0	0
PF3D7_0105300	2.845651833	0.969656455	5.738970948	3.365164501	0	2.040656503
PF3D7_0105400.1	0	0	0	0.420645563	0	0
PF3D7_0105400.2	0	0	0	0	0	0
PF3D7_0105500	0	0	1.14779419	3.365164501	0	0
PF3D7_0105600	2.845651833	0.969656455	3.443382569	4.627101188	12.25243761	10.20328252
PF3D7_0105700	2.845651833	4.848282275	10.33014771	14.72259469	1.225243761	2.040656503
PF3D7_0105800	2.845651833	4.848282275	5.738970948	6.730329001	3.675731284	3.060984755
PF3D7_0105900	1.422825917	0.969656455	0	2.523873375	1.225243761	1.020328252
PF3D7_0106000	0	0.969656455	2.295588379	3.365164501	3.675731284	2.040656503
PF3D7_0106100	1.422825917	0	1.14779419	2.523873375	1.225243761	1.020328252
PF3D7_0106200	0	0.969656455	4.591176758	3.365164501	1.225243761	1.020328252
PF3D7_0106300	5.691303666	0.969656455	10.33014771	12.19872131	2.450487523	4.081313006
PF3D7_0106400	7.114129583	0.969656455	17.21691284	18.08775919	0	0
PF3D7_0106500	4.26847775	3.87862582	0	0.420645563	0	0
PF3D7_0106600	0	0	0	0	0	0
PF3D7_0106700	9.959781416	5.81793873	11.4779419	8.833556814	0	0
PF3D7_0106800	0	0	0	1.261936688	0	1.020328252
PF3D7_0106900	1.422825917	1.93931291	0	2.523873375	0	0
