PlasmoDB_GeneID	Antisense.PfBloodR1	Antisense.PfBloodR2	Antisense.PfOocystR1	Antisense.PfOocystR2	Antisense.PfSporozoiteR1	Antisense.PfSporozoiteR2	Sense.PfBloodR1	Sense.PfBloodR2	Sense.PfOocystR1	Sense.PfOocystR2	Sense.PfSporozoiteR1	Sense.PfSporozoiteR2
PF3D7_0103800	0	1.93931291	0	0.420645563	2.450487523	2.040656503	7.672089837	43.77364674	0.890876167	2.070368819	0	0
PF3D7_0103900	2.845651833	6.787595185	11.4779419	9.254202376	22.0543877	28.56919105	38.36044919	78.06300336	120.2682825	87.25125737	17.36390591	9.46667311
PF3D7_0104000	11.38260733	22.30209846	1.14779419	0	29.40585027	32.65050405	0	2.918243116	3.563504667	0.591533948	3594.328524	3921.569336
PF3D7_0104100	0	1.93931291	1.14779419	0	56.36121302	37.75214531	19.94743358	34.28935662	2.6726285	1.183067897	4714.300456	4757.003238
PF3D7_0104200	0	0	1.14779419	1.261936688	12.25243761	9.182954265	24.55068748	20.42770181	16.92664717	22.18252306	208.366871	239.033496
PF3D7_0104300	14.22825917	5.81793873	11.4779419	13.460658	9.801950091	16.32525203	287.7033689	93.38377972	87.30586434	69.50523893	295.1864005	359.7335782
PF3D7_0104400	0	1.93931291	1.14779419	1.261936688	1.225243761	2.040656503	39.89486715	81.71080726	69.48834101	65.36450129	153.3811689	191.7001305
PF3D7_0104500	0	0	1.14779419	1.68258225	0	0	19.94743358	12.40253324	92.65112134	81.63168487	0	0
PF3D7_0104600	2.845651833	3.87862582	0	1.68258225	0	1.020328252	12.27534374	7.295607791	9.799637834	5.619572509	0	2.366668277
PF3D7_0104700	1.422825917	0.969656455	0	0.841291125	3.675731284	0	6.904880854	20.42770181	0	0.591533948	0	0
PF3D7_0104800	12.80543325	17.45381619	4.591176758	3.785810063	2.450487523	9.182954265	6.13767187	10.21385091	89.08761668	94.34966475	818.9975623	785.7338681
PF3D7_0104900	2.845651833	3.87862582	22.95588379	26.08002488	11.02719385	14.28459552	177.2252752	105.0567522	243.2091935	152.6157587	382.0059301	437.8336313
